CGPA,Speaking Skills,ML Knowledge,Year of Graduation,College Name,Placement Status
7.2,2,2,3.0,"ld college of engineering, ahmedabad, gujarat ",
7.1,5,5,3.0,g h raisoni institut of engineering and technology pune,
8.7,4,4,3.0,government polytechnic gandhinagar,
8.7,2,2,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
8.2,2,2,3.0,"vishwakarma institute of technology, pune",
6.8,3,3,3.0,"kle society's college of bca, rls institute, belagavi",
7.1,4,4,3.0,"priyadarshini college of engineering, nagpur ",
8.5,3,3,3.0,st.francis institute of technology,
9.1,2,2,3.0,new horizon institute of technology and management ,
9.5,5,5,3.0,late g. n. sapkal college of engineering,
6.7,4,4,3.0,"symbiosis institute of technology, pune",
6.7,3,3,3.0,"mit academy of engineering ,alandi",
8.2,2,2,3.0,a. c. patil college of engineering,
6.5,5,5,3.0,wilson college ,
8.7,4,4,3.0,"ld college of engineering, ahmedabad, gujarat ",
9.1,2,2,3.0,dkte society's textile and engineering institute ichalkaranji,
8.9,3,3,3.0,"mit academy of engineering ,alandi",
7.4,5,5,3.0,a. c. patil college of engineering,
7.3,5,5,3.0,wilson college ,
8.6,4,4,3.0,"ld college of engineering, ahmedabad, gujarat ",
9.2,4,4,3.0,dkte society's textile and engineering institute ichalkaranji,
7.8,2,2,3.0,"thakur institute of management studies, career development & research - [timscdr]",
7.9,2,2,3.0,lokmanya tilak college of engineering koparkhairane navi mumbai,
9.9,4,4,3.0,"priyadarshini college of engineering, nagpur ",
8.1,5,5,3.0,"vidyalankar institute of technology, mumbai",
9.5,3,3,3.0,chhattisgarh swami vivekananda technical university teaching department bhilai,
9.8,5,5,3.0,silicon institute of technology,
9.6,5,5,3.0,adhiyamaan college of engineering,
9.6,2,2,3.0,don bosco college of engineering fatorda goa,
6.2,5,5,3.0,pillai college of engineering new panvel,
9.1,3,3,3.0,st xavier's college ,
7.2,5,5,3.0,"vidyalankar institute of technology, mumbai",
9.5,5,5,3.0,"priyadarshini college of engineering, nagpur ",
6.8,4,4,3.0,"vidyalankar institute of technology, mumbai",
8.4,2,2,3.0,chhattisgarh swami vivekananda technical university teaching department bhilai,
9.9,5,5,3.0,silicon institute of technology,
6.6,2,2,3.0,adhiyamaan college of engineering,
6.7,2,2,3.0,don bosco college of engineering fatorda goa,
7.6,3,3,3.0,pillai college of engineering new panvel,
8.3,3,3,3.0,st xavier's college ,
6.3,4,4,3.0,"vidyalankar institute of technology, mumbai",
8.9,3,3,3.0,government polytechnic gandhinagar,
9.5,2,2,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
8.5,5,5,3.0,"vishwakarma institute of technology, pune",
8.5,5,5,3.0,"kle society's college of bca, rls institute, belagavi",
8.8,2,2,3.0,"priyadarshini college of engineering, nagpur ",
7.9,3,3,3.0,st.francis institute of technology,
7.5,2,2,3.0,new horizon institute of technology and management ,
8.3,2,2,3.0,late g. n. sapkal college of engineering,
6.4,2,2,3.0,"symbiosis institute of technology, pune",
7.5,5,5,3.0,"mit academy of engineering ,alandi",
7.7,4,4,3.0,a. c. patil college of engineering,
9.9,4,4,3.0,wilson college ,
7.6,5,5,3.0,"ld college of engineering, ahmedabad, gujarat ",
7.9,3,3,3.0,dkte society's textile and engineering institute ichalkaranji,
7.7,4,4,3.0,"thakur institute of management studies, career development & research - [timscdr]",
7.4,4,4,3.0,lokmanya tilak college of engineering koparkhairane navi mumbai,
9.2,4,4,3.0,"priyadarshini college of engineering, nagpur ",
7.6,2,2,3.0,"vidyalankar institute of technology, mumbai",
8.7,2,2,3.0,chhattisgarh swami vivekananda technical university teaching department bhilai,
9.5,5,5,3.0,silicon institute of technology,
6.9,2,2,3.0,adhiyamaan college of engineering,
9.2,4,4,3.0,don bosco college of engineering fatorda goa,
6.9,5,5,3.0,pillai college of engineering new panvel,
7.2,4,4,3.0,st xavier's college ,
7.5,4,4,3.0,"vidyalankar institute of technology, mumbai",
6.5,4,4,3.0,"s.i.e.s. graduate school of technology, nerul, navi mumbai",
7.5,3,3,3.0,g h raisoni institut of engineering and technology pune,
6.9,3,3,3.0,government polytechnic gandhinagar,
7.6,2,2,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
6.5,5,5,3.0,"vishwakarma institute of technology, pune",
7.3,3,3,3.0,"kle society's college of bca, rls institute, belagavi",
6.7,2,2,3.0,g h raisoni institut of engineering and technology pune,
8.7,2,2,3.0,government polytechnic gandhinagar,
6.7,3,3,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
9.0,4,4,3.0,"vishwakarma institute of technology, pune",
7.2,3,3,3.0,"kle society's college of bca, rls institute, belagavi",
8.5,4,4,3.0,"priyadarshini college of engineering, nagpur ",
6.5,2,2,3.0,st.francis institute of technology,
6.6,2,2,3.0,new horizon institute of technology and management ,
9.5,5,5,3.0,late g. n. sapkal college of engineering,
8.1,5,5,3.0,"symbiosis institute of technology, pune",
9.7,4,4,3.0,"mit academy of engineering ,alandi",
9.3,4,4,3.0,a. c. patil college of engineering,
9.1,2,2,3.0,wilson college ,
7.6,4,4,3.0,"ld college of engineering, ahmedabad, gujarat ",
7.8,2,2,3.0,dkte society's textile and engineering institute ichalkaranji,
7.9,4,4,3.0,"ld college of engineering, ahmedabad, gujarat ",
8.5,3,3,3.0,g h raisoni institut of engineering and technology pune,
8.7,5,5,3.0,government polytechnic gandhinagar,
8.3,4,4,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
9.4,5,5,3.0,"vishwakarma institute of technology, pune",
8.6,3,3,3.0,"kle society's college of bca, rls institute, belagavi",
8.5,2,2,3.0,"priyadarshini college of engineering, nagpur ",
9.1,2,2,3.0,st.francis institute of technology,
7.7,2,2,3.0,new horizon institute of technology and management ,
7.5,5,5,3.0,late g. n. sapkal college of engineering,
7.2,5,5,3.0,"symbiosis institute of technology, pune",
7.6,3,3,3.0,"mit academy of engineering ,alandi",
7.3,4,4,3.0,a. c. patil college of engineering,
7.3,2,2,3.0,wilson college ,
9.4,2,2,3.0,"ld college of engineering, ahmedabad, gujarat ",
6.6,5,5,3.0,dkte society's textile and engineering institute ichalkaranji,
6.6,2,2,3.0,"priyadarshini college of engineering, nagpur ",
8.5,2,2,3.0,"vidyalankar institute of technology, mumbai",
7.7,3,3,3.0,chhattisgarh swami vivekananda technical university teaching department bhilai,
8.1,4,4,3.0,silicon institute of technology,
7.9,2,2,3.0,adhiyamaan college of engineering,
7.1,2,2,3.0,don bosco college of engineering fatorda goa,
8.3,5,5,3.0,pillai college of engineering new panvel,
7.7,3,3,3.0,st xavier's college ,
8.0,3,3,3.0,"vidyalankar institute of technology, mumbai",
6.5,5,5,3.0,government polytechnic gandhinagar,
9.4,3,3,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
6.8,4,4,3.0,"vishwakarma institute of technology, pune",
6.7,4,4,3.0,"kle society's college of bca, rls institute, belagavi",
7.9,3,3,3.0,"priyadarshini college of engineering, nagpur ",
9.3,3,3,3.0,st.francis institute of technology,
6.9,2,2,3.0,new horizon institute of technology and management ,
8.9,5,5,3.0,late g. n. sapkal college of engineering,
8.3,3,3,3.0,"symbiosis institute of technology, pune",
7.2,4,4,3.0,"mit academy of engineering ,alandi",
8.1,4,4,3.0,a. c. patil college of engineering,
9.5,3,3,3.0,wilson college ,
9.6,2,2,3.0,"ld college of engineering, ahmedabad, gujarat ",
7.5,3,3,3.0,dkte society's textile and engineering institute ichalkaranji,
7.9,4,4,3.0,"thakur institute of management studies, career development & research - [timscdr]",
9.3,2,2,3.0,lokmanya tilak college of engineering koparkhairane navi mumbai,
9.6,5,5,3.0,"priyadarshini college of engineering, nagpur ",
9.1,5,5,3.0,"vidyalankar institute of technology, mumbai",
7.3,4,4,3.0,chhattisgarh swami vivekananda technical university teaching department bhilai,
7.5,5,5,3.0,silicon institute of technology,
7.6,3,3,3.0,adhiyamaan college of engineering,
8.0,2,2,3.0,don bosco college of engineering fatorda goa,
7.2,2,2,3.0,pillai college of engineering new panvel,
9.1,5,5,3.0,st xavier's college ,
6.7,5,5,3.0,"vidyalankar institute of technology, mumbai",
7.1,5,5,3.0,"s.i.e.s. graduate school of technology, nerul, navi mumbai",
7.1,4,4,3.0,g h raisoni institut of engineering and technology pune,
9.5,5,5,3.0,government polytechnic gandhinagar,
9.2,5,5,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
7.9,3,3,3.0,"vishwakarma institute of technology, pune",
7.3,3,3,3.0,"kle society's college of bca, rls institute, belagavi",
7.3,4,4,3.0,g h raisoni institut of engineering and technology pune,
7.8,5,5,3.0,government polytechnic gandhinagar,
9.1,3,3,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
6.9,2,2,3.0,"vishwakarma institute of technology, pune",
8.4,2,2,3.0,"kle society's college of bca, rls institute, belagavi",
6.7,3,3,3.0,"priyadarshini college of engineering, nagpur ",
9.2,2,2,3.0,st.francis institute of technology,
7.3,2,2,3.0,new horizon institute of technology and management ,
7.9,5,5,3.0,late g. n. sapkal college of engineering,
9.9,2,2,3.0,"symbiosis institute of technology, pune",
7.6,5,5,3.0,"mit academy of engineering ,alandi",
9.3,2,2,3.0,a. c. patil college of engineering,
6.4,2,2,3.0,wilson college ,
8.4,3,3,3.0,"ld college of engineering, ahmedabad, gujarat ",
6.6,3,3,3.0,dkte society's textile and engineering institute ichalkaranji,
7.8,4,4,3.0,"ld college of engineering, ahmedabad, gujarat ",
8.7,3,3,3.0,g h raisoni institut of engineering and technology pune,
7.2,4,4,3.0,government polytechnic gandhinagar,
7.1,2,2,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
8.0,5,5,3.0,d y patil institute of mca and management akurdi pune,
8.5,5,5,3.0,ap shah institute of technology ,
8.5,5,5,3.0,don bosco college of engineering fatorda goa,
9.1,5,5,3.0,pillai college of engineering new panvel,
9.7,2,2,3.0,st xavier's college ,
8.7,4,4,3.0,"vidyalankar institute of technology, mumbai",
6.5,3,3,3.0,"s.i.e.s. graduate school of technology, nerul, navi mumbai",
8.8,4,4,3.0,g h raisoni institut of engineering and technology pune,
9.3,5,5,3.0,government polytechnic gandhinagar,
7.6,4,4,3.0,"b. k. birla college of arts, science & commerce (autonomous), kalyan",
6.5,4,4,3.0,"vishwakarma institute of technology, pune",
8.7,2,2,3.0,New horizon institute of Technology and Management ,
9.1,2,2,3.0,Late G. N. Sapkal College Of Engineering,
9.2,5,5,3.0,"Symbiosis Institute of Technology, Pune",
7.3,2,2,3.0,"MIT Academy Of Engineering ,Alandi",
7.6,3,3,3.0,A. C. Patil College of Engineering,
7.1,4,4,3.0,Wilson college ,
8.3,2,2,3.0,"LD College of engineering, Ahmedabad, Gujarat ",
9.2,3,3,3.0,DKTE Society's Textile And Engineering Institute Ichalkaranji,
9.9,4,4,3.0,"THAKUR INSTITUTE OF MANAGEMENT STUDIES, CAREER DEVELOPMENT & RESEARCH - [TIMSCDR]",
9.3,2,2,3.0,LOKMANYA TILAK COLLEGE OF ENGINEERING KOPARKHAIRANE NAVI MUMBAI,
7.1,4,4,3.0,"Priyadarshini college of engineering, Nagpur ",
7.5,4,4,3.0,"Vidyalankar Institute of Technology, Mumbai",
7.3,3,3,3.0,CHHATTISGARH SWAMI VIVEKANANDA TECHNICAL UNIVERSITY TEACHING DEPARTMENT BHILAI,
7.4,3,3,3.0,Silicon Institute of Technology,
8.3,5,5,3.0,ADHIYAMAAN COLLEGE OF ENGINEERING,
7.4,4,4,3.0,Don Bosco College of Engineering Fatorda Goa,
6.7,5,5,3.0,Pillai College of Engineering New Panvel,
7.3,2,2,3.0,St Xavier's College ,
9.7,5,5,3.0,"Vidyalankar Institute of Technology, Mumbai",
7.9,3,3,3.0,"S.I.E.S. Graduate School Of Technology, Nerul, Navi Mumbai",
7.2,5,5,3.0,G H Raisoni institut of engineering and technology pune,
7.1,5,5,3.0,GOVERNMENT POLYTECHNIC GANDHINAGAR,
8.7,2,2,3.0,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",
8.7,5,5,3.0,"Vishwakarma Institute of Technology, Pune",
8.2,5,5,3.0,"KLE Society's College of BCA, RLS Institute, Belagavi",
6.8,3,3,3.0,G H Raisoni institut of engineering and technology pune,
7.1,2,2,3.0,GOVERNMENT POLYTECHNIC GANDHINAGAR,
8.5,3,3,3.0,"B. K. Birla College of Arts, Science & Commerce (Autonomous), Kalyan",
9.1,3,3,3.0,"Vishwakarma Institute of Technology, Pune",
9.5,2,2,3.0,"KLE Society's College of BCA, RLS Institute, Belagavi",
6.7,2,2,3.0,"Priyadarshini college of engineering, Nagpur ",
6.7,2,2,3.0,St.Francis Institute of Technology,
8.2,2,2,3.0,New horizon institute of Technology and Management ,
6.5,3,3,3.0,Late G. N. Sapkal College Of Engineering,
8.7,5,5,3.0,"Symbiosis Institute of Technology, Pune",
9.1,3,3,3.0,"MIT Academy Of Engineering ,Alandi",
8.9,3,3,3.0,A. C. Patil College of Engineering,
7.4,4,4,3.0,Wilson college ,
7.3,2,2,3.0,"LD College of engineering, Ahmedabad, Gujarat ",
8.6,4,4,3.0,DKTE Society's Textile And Engineering Institute Ichalkaranji,
9.2,5,5,3.0,"LD College of engineering, Ahmedabad, Gujarat ",
7.8,3,3,3.0,G H Raisoni institut of engineering and technology pune,
7.9,4,4,3.0,GOVERNMENT POLYTECHNIC GANDHINAGAR,
